Sentence,Labels
only cut hair,"Ability, Appearance"
are pricks,Personality
must be defeated,Mistreatment
should be alone,Mistreatment
have ulterior motives,Personality
can not park cars,Ability
shouldn't be main characters,"Social status, Mistreatment"
need a lot of reassurance,"Morality, Social status, Personality"
are better at political roles,Ability
can't write enjoyable books,Ability
"have no business talking about a ""man's sport""","Family & relationship, Ability, Social status"
teach hatred,Belief
cannot be as funny as men,Ability
is known for people having aids,Health
don't understand things not clearly explained,Ability
sound weird,"Ability, Personality"
own a lot of shops,Financial status
are parasitic,Ability
are not fact based,"Morality, Personality"
are called kikes,Swear words
"are ""japs""",Swear words
make poor products,Ability
perform hand jobs,"Family & relationship, Social status"
get drunk and watch nascar,Personality
were shot in the florida nightclub,Mistreatment
with progeria are jokes,Health
aren't family men,Family & relationship
hide from their responsibilities,Personality
are unmotivated,Personality
are offended by the national anthem,Culture
are the toilet of the world,"Social status, Culture, Mistreatment"
can't leave a housefire,"Health, Ability"
is like generic european culture,Culture
are flaky,Personality
is unrefined,"Social status, Personality"
only do yardwork,Social status
oppress others,"Crime, Morality, Personality"
are attracted to poop,Health
is strange tbh,Personality
withhold sex from men for no reason,Family & relationship
does not like indians,Belief
doesn't make sense,Personality
should take orders,"Social status, Mistreatment, Personality"
didn't have rights in early america,Mistreatment
don't have their own identity,Social status
could stop being poor if they tried,Financial status
lay low their intentions,Personality
are always bringing up race,"Belief, Social status"
do other's work,"Ability, Mistreatment"
treat pregnant women better,Family & relationship
can't wear what they want,Culture
aren't datable,Family & relationship
don't want their children dating muslims,Belief
study too much,"Ability, Personality"
should be concerned about who they are,"Social status, Personality"
that look good must be part white,Appearance
should be left alone,Mistreatment
don't wear necklaces,Appearance
bring on problems themselves,Personality
get hysterical,Personality
can't believe in god,Belief
shouldn't be expected to be good at things,Ability
are good builders,Ability
use slavery as an excuse to fail at everything,"Crime, Ability, Social status, Belief"
can tell a person's ethnicity by looking,Appearance
can't wrestle,Ability
look like teenagers,Appearance
are extinct,Culture
don't get good grades,Ability
are a sex fantasy,Family & relationship
are too uptight about sex,Family & relationship
cannot hold higher professional jobs,Ability
need things,"Financial status, Personality"
are traitors,Morality
are only out for themselves,Personality
control hollywood,Social status
have a nasty history,Culture
"are called ""wetbacks""",Social status
believe in a false god,Belief
are subversives,Crime
have held black people back,Belief
are too divided,Social status
hold up progress,Ability
have poor discipline,"Morality, Personality"
shouldn't be in london,Social status
steal cultures of others,Morality
are impostors,"Crime, Morality"
place their own problems on everyone else,Personality
go crazy when something doesn't go their way,Personality
hate christmas,Belief
claim to be for social justice,Belief
can't maintain a civilization,"Ability, Social status, Personality"
hate irish people,Belief
have undue influence,"Morality, Culture"
cheat in elections,Morality
aren't democractic,Belief
aren't christian,Belief
take opportunities from native people,"Crime, Morality, Belief, Social status"
act superior,Personality
need to leave the us,"Social status, Mistreatment"
use other races for their own means,"Belief, Morality"
from the democratic republic of congo are rapists,"Crime, Social status"
are a bad influence,"Morality, Personality"
are underachievers,Ability
line up with liberals to blame conservatives,Belief
can't act,Ability
have smaller brains,Ability
of different races vary in intelligence,"Belief, Ability"
are on the streets,Social status
lie about hate crimes,Morality
in louisiana were violent after katrina,Crime
are ruining the gene pool,"Health, Social status"
should be exiled and controlled,Social status
should be sent somewhere else,"Social status, Mistreatment"
can't teach as well as white teachers,Ability
are part of a zionist conspiracy,Belief
"are just ""half breeds""",Family & relationship
are mongrels,Swear words
expresses dislikes for gypsies,Belief
listen to certain music,Culture
are invasive,Personality
should be exterminated (88 is a reference to hitler),Mistreatment
have advantages,Ability
"want to have sex with ""alpha males""",Family & relationship
put men through tests,"Morality, Ability"
is ok to bully them,Mistreatment
can't find love,Family & relationship
only want a specific type or male,"Family & relationship, Personality"
love to reject men,Family & relationship
eat curry,Culture
are always distracted,"Ability, Personality"
have a dating advantage,Family & relationship
cry rape,"Crime, Morality, Mistreatment"
can't have fun,"Ability, Personality"
don't have to try,Ability
have things just handed to them,"Ability, Personality"
"want a ""chad""",Appearance
do not use logic,Ability
all love looking at penises,Family & relationship
blindly follow the establishment,"Ability, Personality"
look like shit,Appearance
take your house,"Crime, Morality"
can't think,Ability
don't pass the sats,Ability
don't notice things,"Ability, Personality"
barely weigh more than a burger,"Health, Appearance"
can not play music,Ability
are rough in bed,Family & relationship
are easy to hurt,"Mistreatment, Personality"
don't listen to rock,Personality
shouldn't enjoy toys,Personality
should not secure borders,Social status
are snitches,Morality
can't support anyone,Ability
are hippocrits,Morality
have a duty to have sex with men,"Family & relationship, Social status"
can get sex easily,Family & relationship
own corner stores,Financial status
have periods which are dirty/nasty,Health
look like charcoal,Appearance
use the bathroom in the streets,"Health, Financial status, Social status"
with ukrainians isn't good,Belief
will jump for food,Financial status
are on life support,"Health, Financial status"
have hair like velcro,Appearance
can't spell,Ability
eat shark fins,"Crime, Morality, Culture"
are comparable to suicide vests,"Crime, Belief, Mistreatment, Social status"
can't measure,Ability
should go to china,"Culture, Social status"
are not monogamous,"Family & relationship, Culture"
don't say what they mean,Personality
always keep utensils in their car,"Culture, Social status"
are money-grubbers,"Financial status, Personality"
join mobs,Crime
falsely claim oppression,"Crime, Mistreatment"
have the intellectual capacity of a potato,Ability
is bad for america,"Belief, Social status, Mistreatment"
is sexually confused,Family & relationship
shouldn't have a penis,"Family & relationship, Mistreatment"
need to be aesthetically pleasing,"Family & relationship, Appearance"
are fun to smash with a sledgehammer,Mistreatment
have a lot of people in heaven,Mistreatment
are in cop cars a lot,Crime
are a secret cabal,Morality
deserve a history month,Culture
should know about terrorist events,Mistreatment
gets arrested all the time,Crime
has weird body organ,Health
are avoided,"Social status, Mistreatment, Personality"
are punchlines,Mistreatment
were often cremated during the holocaust,Mistreatment
died during the holocaust,Mistreatment
are obsessed with holocaust,Belief
were dehumanized and assigned numbers in camps,Mistreatment
take trains to the death camps,Mistreatment
were raped by germans,Mistreatment
were all murdered,Mistreatment
were mass murdered,Mistreatment
still have a slave mentality,"Social status, Mistreatment"
were forced on boats as slaves,Mistreatment
deserve to be in auschwitz,Mistreatment
aren't as smart as white people,Ability
was in a concentration camp,Mistreatment
burned in ovens,Mistreatment
are defined by their history/the holocaust,Mistreatment
were reduced to ash,Mistreatment
are deserving of being murdered,Mistreatment
were cooked in ovens,Mistreatment
were all killed,Mistreatment
were executed,Mistreatment
about the jews dying,Mistreatment
nonwhites are subhuman,"Social status, Mistreatment"
aren't as good as male ,"Ability, Social status, Mistreatment"
are inferior/not worth sympathizing with,"Health, Mistreatment"
were all gassed,Mistreatment
dont measure up to whites,"Ability, Social status, Mistreatment"
were put in chambers,Mistreatment
aren't vulnerable in the ways that men are,"Social status, Personality"
deserved to die during the holocaust,Mistreatment
are property of white people,Social status
are deserving of abuse,Mistreatment
were historically transported on trains during the holocaust,"Social status, Mistreatment"
were cremated in wwii,Mistreatment
are less intelligent than others,Ability
were kept in chambers,Mistreatment
went to camps,Mistreatment
are negroids/less than human,"Social status, Mistreatment"
are less intelligent than other people,Ability
being burned in war,Mistreatment
leaving their kids is like a game to them,Family & relationship
dont have the same freedoms as men,Social status
are not worthy people,"Social status, Mistreatment"
have bad attitudes compared to men,Personality
with mental conditions are less than human,Health
deserved to be victims of hitler,Mistreatment
is sexually inferior,Family & relationship
should have all died in the holocaust,Mistreatment
are turned to ash,Mistreatment
are less evolved,Ability
are burned up,Mistreatment
is not as smart as a man,Ability
are worth less,Social status
are weak and not manly,"Health, Ability"
are black and white,Appearance
are wrongly in jail,Mistreatment
should be killed without repercussions,Mistreatment
are of lesser value,"Social status, Mistreatment"
should be tortured,Mistreatment
are unwelcome in society,Social status
deserve to be in the back of the bus,Mistreatment
are not as intelligent,Ability
were once owned by white people,Social status
deserve to be targeted,Mistreatment
are made to be beaten,Mistreatment
are less than human and can be owned,Social status
belong in cages,Mistreatment
are not intelligent,Ability
are not as smart,Ability
are worthless humans,Mistreatment
is only worth 3/5th of a white person,Mistreatment
is beneath white people,Mistreatment
were marked and branded with numbers in camps,Mistreatment
were primarily targeted by the germans in ww2,Mistreatment
should not live near white people,Mistreatment
deserve to get beaten on by their men,Mistreatment
should be thought of in relation to slavery,Mistreatment
are lazy/worthless,"Ability, Personality"
hate their families,Family & relationship
shouldn't date,Family & relationship
should be battered,Mistreatment
are not worthy of citizenship,Social status
have no rights to their bodies,Social status
don't deserve to do the same things as others,"Social status, Mistreatment"
are subhuman apes,Social status
are not seen as worthy to the opposite sex,Social status
are worth less than christians and muslis,"Belief, Social status, Mistreatment"
don't deserve to be in the usa,Social status
are objects to be used by men,"Family & relationship, Social status, Mistreatment"
was mass slaughtered,Mistreatment
will eat their children,"Family & relationship, Crime"
are always starving or dying of disease,"Health, Financial status"
are meant to exist for the pleasure of men,Social status
are no better than monkeys,"Ability, Social status"
support violent actions,Crime
are only sex object in islam,"Family & relationship, Social status, Mistreatment"
engage in subhuman acts,"Crime, Morality, Social status"
get burned,"Health, Mistreatment"
are defined by sex acts,Family & relationship
should be held captive to provide sex,Family & relationship
are good servants,Social status
belong chained up,Mistreatment
is a racial slur,Belief
are of no significance,Social status
aren't as good as native citizens,"Ability, Social status"
cant afford food,Financial status
shouldn't live,"Social status, Mistreatment"
got what they deserved in nazi germany,Mistreatment
run out on kids,Family & relationship
are dangerous,Morality
don't want to live,Personality
deserved to be taken on slave ships,Mistreatment
were participants in ww2,"Crime, Morality"
have less rights in the us,Social status
"uses ""niggas"" is probably offensive since s a no no word",Swear words
are undesirables,"Crime, Morality, Social status, Personality"
"worthy to live, ok to hurt them","Social status, Mistreatment"
deserve to be wipe out as a race,Mistreatment
are treated lower than human,Mistreatment
see women as sex objects,"Family & relationship, Belief"
don't eat their own food,Personality
are just to be used,Social status
are estranged from their fathers,Family & relationship
live in poor conditions,Financial status
are not powerful,Ability
of color should not have children with white folks/marry white folks,Family & relationship
need to be put down,Mistreatment
have no freedom,"Social status, Mistreatment"
deserve nothing,Mistreatment
are oversensitive about the n-word,Personality
can be used sexually,"Family & relationship, Mistreatment"
were prisoners,Crime
want power over men,"Family & relationship, Belief, Social status"
deserve better treatt,Mistreatment
are a blight on society,Social status
are vegetables/objects,Health
are worth less than straight men,Social status
were kiled in the halocaust,Mistreatment
can't afford things,Financial status
picked cotton during slavery,Mistreatment
can't do things boys can,Ability
are different from regular women,Personality
look like apes or gorillas,Appearance
are less than a whole person,Health
should be burned in the oven,Mistreatment
get paid less than men,Financial status
marry their relatives,Family & relationship
deserved what they got in ww2,Mistreatment
should be called racial slurs,Mistreatment
"refer to themselves as ""niggas""","Swear words, Culture"
has been burned,Mistreatment
are sex workers,Family & relationship
are less talented than others,Ability
don't like to spend their money,"Financial status, Personality"
aren't cared for,Social status
should have had more deaths in the holocaust,Mistreatment
should be put in the oven,Mistreatment
have sexual relations with relatives,Family & relationship
dying in the holocaust was funny,Mistreatment
are into sex with cousins,Family & relationship
aren't as smart as normal people,Ability
have family relations,Family & relationship
isn't worthy of life,Mistreatment
are less evolved than whites,Social status
don't speak well,Ability
do bad things,Morality
are never clean,Health
are called monkey as a slur,"Swear words, Mistreatment"
were cuffed with chains during slavery,Mistreatment
should be thought of as being reduced to ash,Mistreatment
are worth less than dog poop,Social status
shouldn't be allowed to live,"Social status, Mistreatment"
have a lot of incest in their community,Family & relationship
in alabama commit incest,Family & relationship
should serve/belong to whites,Social status
are worse than the holocaust,Mistreatment
are domestic servants,Social status
shouldn't be allowed to marry,Mistreatment
get whites in trouble,"Morality, Personality"
dont belong in western society,Social status
don't want to touch black folks,Belief
have worse sports than men,Ability
don't like gay people,Belief
do not have equal value,"Social status, Mistreatment"
is lesser group,Social status
always leave their families,Family & relationship
are naturally athletic,Ability
have massive genitals,Family & relationship
are not a high social class,Social status
does not have fathers,Family & relationship
primarily make up prison population,Crime
is a thief,Crime
arent people,Social status
have several kids fathers,Family & relationship
aren't fluent in english,Ability
don't like when white people succeed,Belief
should not be in usa,Social status
aren't worth living with,Social status
do not fit in with whites,Social status
did not survive ww2,Mistreatment
are worthless if they sleep with many men,Family & relationship
deserve to die for being gay,Mistreatment
should be hurt by police,Mistreatment
of color should not have children with whites,"Family & relationship, Social status, Mistreatment"
will sleep with white guys,"Family & relationship, Belief, Morality"
are opposed to white men,Social status
can be called negro,Swear words
are not worthy of god's attention,Belief
cannot hope to earn as much as men,Financial status
should be deported,"Social status, Mistreatment"
are a harm to the country they go to,Social status
get beaten a lot,Mistreatment
and black people are better off dead,"Social status, Mistreatment"
gets treated badly,Mistreatment
you know was burned up,Mistreatment
is looked down upon,Social status
are generally poorer,Financial status
were brought to america on boats,"Social status, Mistreatment"
are meant to do housework,Social status
deserves to get hurt,Mistreatment
should not have rights over their bodies,"Social status, Mistreatment"
don't watch sports,Personality
should be in jail,Crime
want to leave their country as fast as possible,Belief
is below common people,Social status
are considered garbage,Social status
used to not have the same rights as white people,"Social status, Mistreatment"
are treated worse,Mistreatment
against blacks is not real,Belief
gets shot by police,"Crime, Mistreatment"
do most of the crime,Crime
hate christian people,Belief
protect terrorists,"Crime, Morality"
are worse than dogs,Social status
should be drowned,Mistreatment
are beneath others,Social status
were sold to people,Social status
are inequality,Mistreatment
are for doing dishes,Social status
are more desirable,"Social status, Personality"
are desperate,Personality
are good at basketball,Ability
shouldn't have freedom,Mistreatment
drive their men to kill themselves,Morality
are of lesser stock,Financial status
are only worth their bodies,Social status
deserve more than immigrants,"Social status, Mistreatment"
were blown up,Mistreatment
will become criminals,Crime
get beat up,Mistreatment
are always yelling,Personality
who have casual sex are wrong,Family & relationship
attack blacks when convenient,"Crime, Morality"
aren't sexual,Family & relationship
grow up to be criminals,Crime
with mental illness make it up for attention,Health
of blacks is violent,Personality
belong in concentration camps,Mistreatment
are the only ones committing gun crimes,Crime
are unpleasant,Personality
want to kill people by any means,Crime
are chimps,Appearance
are always causing trouble,"Morality, Ability, Personality"
are antagonistic to whites,Belief
that have kids are sluts,"Family & relationship, Swear words"
arent worth it,Social status
are invading traditionally white countries,"Social status, Morality, Culture"
are all in prison,Crime
are blown up,Mistreatment
don't have access to medicine,Health
are a disappointment,"Ability, Personality"
are to be joked about,Mistreatment
turned into smoke,Mistreatment
wants group sex with white women,Family & relationship
have large anatomy,Health
don't grow up with fathers,Family & relationship
are not regarded,"Social status, Mistreatment"
can't afford anything,Financial status
should be bombed,Mistreatment
get run over,Mistreatment
are fast at running,Ability
can't be seen at night,Appearance
are too emotionally weak,Personality
were victims,Mistreatment
s not good looking,Appearance
are supported by whites,Social status
are victims of white violence,Mistreatment
aren't good friend material,"Family & relationship, Personality"
have been beaten and assaulted,Mistreatment
are punished by god,"Belief, Mistreatment"
are racially biased,"Belief, Mistreatment, Personality"
can't walk on their own,"Health, Personality"
are emotionally unstable,Personality
don't matter as much as americans,Social status
are disabled when it comes to sports,"Health, Ability"
are submissive,Personality
are all abusive,Morality
should be ok with abuse,Mistreatment
should be judged by their weight,Appearance
don't want to admit that they're ugly,Appearance
are only good for being shot,Mistreatment
eat vegetables,Culture
are on the bottom of soceity,Social status
should serve whites,Social status
deserves to be called derogatory names,Mistreatment
look like aliens,Appearance
are very pale,Appearance
need to be masculine,Personality
are subject to police profiling,Crime
use guns and gang rape,"Crime, Morality"
shouldn't participate in society,Social status
is a terrorist religion,"Crime, Belief"
should not announce sports,Ability
force women to be submissive,"Family & relationship, Belief, Morality, Social status"
is to be laughed at,Mistreatment
are only good at certain sports because of predetermined genetic reasons,Ability
of other colors are hated,Mistreatment
are less attractive than young folks,Appearance
"particularly steal televisions, especially at night",Crime
used to have less rights,Social status
commits sexual crimes,Crime
only care about a huge penis,Family & relationship
with physical disabilities or physical illness deserve what they get,Health
aren't as important as europeans,"Swear words, Social status, Mistreatment"
being compared to men is insulting,"Family & relationship, Belief, Social status, Mistreatment"
don't have parents,Family & relationship
was killed,"Crime, Mistreatment"
should be assaulted with a knife while having sex,"Family & relationship, Crime, Morality, Belief, Mistreatment"
should not be respected if you're not married to them,Family & relationship
in wheelchairs are not brave,"Health, Ability"
are gold diggers/only care about money,Belief
killing,"Crime, Morality"
starving is funny,Financial status
have less access to health care,Financial status
all died,"Health, Swear words"
get bombed,Crime
like to bomb people,Crime
blow up,Crime
are called fruits,"Belief, Culture, Mistreatment"
are deadbeat dads,Family & relationship
have little amount of food,Financial status
are targets of rape,"Family & relationship, Crime, Belief, Mistreatment"
are sexualized (women),Family & relationship
do not have parents,Family & relationship
are to be baked,"Crime, Mistreatment"
disappear on their families,Family & relationship
are abusive sexually to boys,"Family & relationship, Morality, Mistreatment"
aren't well behaved because don't have parents,Family & relationship
are dark like coffee,Appearance
were frequently used to pick cotton fields,"Swear words, Social status, Mistreatment"
are all extremely poor and unhealthy,"Health, Financial status"
should act a certain way,Social status
will suicide bomb things,Crime
who enjoy sex are damaged goods,Family & relationship
have ruined america,"Crime, Morality, Swear words"
are not as assertive,Personality
have to take abuse from their husbands,Family & relationship
can't read,Ability
is a target of extermination,"Crime, Swear words, Social status, Mistreatment"
are sexualized,Family & relationship
can not raise a family,Financial status
are fags and homos,"Family & relationship, Belief, Culture"
should be objectified for wearing certain clothes,"Culture, Social status, Mistreatment"
are not worth dancing with,"Social status, Mistreatment"
is okay to objectify women,"Family & relationship, Belief, Social status, Mistreatment"
from amsterdam are thieves,"Crime, Financial status, Swear words, Social status"
are excrement,Swear words
cannot control how much they eat,"Ability, Personality"
are only good for objectification,"Social status, Mistreatment"
should have been killed off,"Crime, Swear words, Mistreatment"
have sex young,Family & relationship
get shot a lot and no one should feel bad,Crime
cares if a black person died,"delete, Swear words"
all sexually abuse boys,"Family & relationship, Crime, Morality, Mistreatment"
being burnt in ovens was funny,"Crime, Social status, Mistreatment"
have been showered with death poison during the holocaust,"Crime, Swear words, Mistreatment"
liked to kill people,Crime
was bad that only some of jews died,"delete, Swear words"
are victims because they follow islam,"Belief, Swear words, Culture"
are considered vermin,Swear words
are not segregated anymore,delete
are worth hating on,"Mistreatment, Personality"
don't know how to talk,Ability
were submissive,"Social status, Mistreatment"
mutilate children,"Health, Crime, Morality, Ability"
can't have real children,Family & relationship
have different bodies than white women,Appearance
are taking advantage of the country,"Morality, Mistreatment"
all belong in jail,"Crime, Morality, Belief, Swear words, Personality"
of color dont have minds of their own,"Swear words, personality, Appearance, Mistreatment, ability"
want to destroy europe,Crime
should be objectified if they don't talk to certain men,"Family & relationship, Social status, Mistreatment"
are always killing each other,Crime
teach their kids to be suicide bombers,Crime
deserve cancer,Health
incite violence,Crime
are irresponsible,Personality
are afraid of blacks,"Belief, Swear words, Mistreatment"
are more wild than animals,"Morality, Swear words, Personality"
are gross people,"Swear words, Appearance"
are not worthy of friendship,"Family & relationship, family & relationship, Personality"
is a legitimate target for violent assault,"Crime, Social status, Mistreatment"
are fooled by women,"Family & relationship, Ability"
are refereed to as a derogatory word,Swear words
are too emotional,Personality
sleep with sisters,Family & relationship
killed a lot of people,Crime
are always doing something illegal,Crime
pick cotton/that's what they're good for,"Ability, Social status, Mistreatment, Swear words"
are deficient,"Ability, Financial status, Swear words"
were/should be gassed,"Crime, Mistreatment"
cause trouble,Ability
are all disabled,"Health, Ability"
with down syndrome can't control bodily functions,Health
condone sexual abuse of minors,Mistreatment
have dark skin and can be hard to see at night,"Appearance, Swear words"
should be hit,"Belief, Swear words, Mistreatment"
are killed for fun,Crime
look like men,Appearance
are to be beaten,"Crime, Mistreatment"
can't be feminist,"Family & relationship, Belief"
should stay in the place designated by men,"Family & relationship, Social status, Mistreatment"
have flat faces,Appearance
cannot escape the memory of the holocaust,Mistreatment
is pointless,"Ability, Social status"
deserves hate,"Mistreatment, Personality"
are paranoid,Personality
with white is wrong,"Belief, Appearance"
exist to please men/belong to men,Mistreatment
think rape should be legal,Belief
mixing with whites creates an impure race,Mistreatment
and sisters have sex,Family & relationship
are all sexual offenders,"Family & relationship, Crime"
prey on kids,Crime
try to push white guilt on white people,"Belief, Morality, Mistreatment"
exploit white females looking for bbc,"Family & relationship, Crime, Morality"
don't get along with black folks,"Mistreatment, Personality"
need to be shot,Mistreatment
deserve to die in the microwave,Mistreatment
exist to titilate men,Mistreatment
is greedy,Personality
get pushed around by their girlfriends,"Family & relationship, Mistreatment"
know nothing about football,Ability
"sometimes just referred to as ""females""","Family & relationship, Social status, Mistreatment"
only want white males,"Family & relationship, Belief, Appearance"
disrespect themselves,Personality
belong in the kitchen/in the house,Social status
don't talk right,Ability
always abandon their family,Family & relationship
are dogs,Swear words
are below men,Social status
aren't people anymore,"Swear words, Social status, Mistreatment"
are killed in the open and no one notices,Mistreatment
should accept slavery jokes,"Morality, Social status, Mistreatment"
destroy everything,"Morality, Mistreatment, Personality"
are all suicide pilots,Crime
should be quiet/subservient,Personality
try to swim to the us,Crime
don't assimilate into the culture of their new country,Culture
are digusted by women,"Family & relationship, Personality"
do not like oral sex,Family & relationship
sexually assault altar boys,"Family & relationship, Crime, Morality, Mistreatment"
get offended by everything,Personality
supports pedophilia,Morality
"should be harmed, killed, blown up",Mistreatment
always steal from white people,Crime
want more and more rights all the time,"Belief, Personality"
are against women,"Family & relationship, Belief, Morality"
deserves to be called a bad name,"Culture, Mistreatment, Personality"
should gas jews for jesus,"Belief, Mistreatment"
want to control society,"Belief, Morality"
like to be married to other races,Culture
are blamed for crimes,"Crime, Morality"
don't make as much money as men,"Family & relationship, Financial status, Ability"
should go to hell,"Morality, Swear words, Personality"
are not law-abiding,"Crime, Personality"
don't have freedom,Mistreatment
are chased by police dogs,"Crime, Mistreatment"
are the property of their husbands,Mistreatment
is unimportant,Mistreatment
makes fun of gays,"Family & relationship, Morality, Personality"
refers to less than,Mistreatment
are not relevant,Mistreatment
are suppose to be funny,"Social status, Personality"
are all perverts,"Swear words, Mistreatment"
do chores for men,"Family & relationship, Social status, Mistreatment"
get offended a lot,Personality
have good camouflage at night,Appearance
are too poor to buy their own gifts,Financial status
are involved in criminal activity from childhood,"Crime, Morality, Mistreatment"
should defend themselves,"Ability, Mistreatment"
are the cause of the worlds problems,"Morality, Swear words"
should be laughed at,Mistreatment
treat all blacks as sub citizens,"Belief, Morality, Appearance, Social status"
have bad tempers,Personality
eat everything,"Ability, Personality"
are subserviant,"Social status, Mistreatment, Personality"
was right in killing the jews,"Crime, Morality, Mistreatment"
are use to poop,Mistreatment
of black people are in jail,"Crime, Morality, Appearance, Mistreatment"
make less than equal male counterparts,"Family & relationship, Ability, Social status, Mistreatment"
eat unusual animals,"Morality, Culture, Personality"
all have bombs,"Crime, Mistreatment"
can justly be forcibly raped,Mistreatment
enjoy mass shootings,"Crime, Morality, Mistreatment"
only do anal,Family & relationship
can only cook,Ability
should not have autonomy,Mistreatment
is meant to be laughed at,Mistreatment
makes a slavery joke,Morality
worship monkeys,Culture
all have stds,"Family & relationship, Health"
is something to ridicule,"Ability, Mistreatment, Personality"
like to rape girls,"Crime, Morality, Mistreatment"
aren't good coworkers,"Ability, Personality"
do not stand up for themselves,Ability
is not desirable,"Ability, Appearance"
need white people to survive,Mistreatment
aren't people like men are,"Family & relationship, Social status, Mistreatment"
should not be in ireland,Social status
need to be attacked violently,Mistreatment
need white people to use force against them so they can work,"Ability, Social status, Mistreatment, Personality"
of color should be sterilized,Mistreatment
don't care if men are attractive,Family & relationship
have sex easier than men,"Family & relationship, Swear words"
should be joked about,Mistreatment
are vegetables and can't care for themselves,"Health, Ability, Mistreatment"
and muslims have sex with animals,"Family & relationship, Belief, Morality, Culture"
get pepper sprayed,Mistreatment
get upset over small things,Personality
is about sex to gay men,Family & relationship
immigrate to the us illegally,Crime
enjoy lynching,"Crime, Morality"
don't want to sleep with men,Family & relationship
have a lot of derogatory names,"Culture, Social status, Mistreatment"
are all illegal,Crime
aren't normal people,"Swear words, Mistreatment"
carry guns,Crime
made fun of,Mistreatment
can't/shouldn't do masculine things,"Family & relationship, Ability, Social status, Mistreatment"
can't be considered anything but black,"Appearance, Social status, Mistreatment"
get gassed by hitler,Mistreatment
belong in the home,"Family & relationship, Social status, Mistreatment"
act different around men,"Family & relationship, Personality"
have less control than others,Ability
are all immigrants,Social status
should be treated like whores,Mistreatment
marry their reletives,"Family & relationship, Crime, Morality"
get beat up by men,"Family & relationship, Mistreatment"
get pregnant a lot,Family & relationship
gets lynched a lot,Mistreatment
can't be recognized at night,Appearance
in africa get hiv,Health
cannot be athletes,Ability
hate attractive women,"Family & relationship, Belief, Personality"
are easy prey,"Ability, Social status, Mistreatment"
who are vegetables don't have value,"Health, Ability, Mistreatment"
beat blacks for fun,Crime
are exterminated by gas,Mistreatment
are physically weak/slow,Ability
cannot use their brains,"Health, Ability"
need to be shown their place,"Social status, Mistreatment"
should be feared,"Social status, Mistreatment"
shouldn't be in charge of men,Social status
should be burnt on crosses,Mistreatment
sometimes dont live long,Health
abuse altar boys,"Crime, Morality"
are odd,"Swear words, Personality"
have specific sounding names,Culture
is ugly,Appearance
are out to harm the rest of the nation,"Crime, Morality, Social status, Mistreatment"
don't hold jobs,Ability
are oppresive,"Morality, Ability, Personality"
think they know men,Ability
are burglars,"Crime, Morality"
are obligated to wash the dishes,Family & relationship
are in fear of genocide,Mistreatment
are overweight because they are lazy,"Health, Personality"
are childless,Health
don't mind racial slurs,Morality
just use men,"Family & relationship, Morality"
don't see blacks as full people,"Belief, Morality, Appearance, Mistreatment"
belong to men,"Family & relationship, Social status, Mistreatment"
do not live long,Health
have lower life expectancies,Health
they care about is money,"Morality, Financial status"
should stop fighting for equality,"Belief, Social status"
are insects,"Swear words, Mistreatment"
should please men,"Family & relationship, Social status, Mistreatment"
are more suicidal,"Health, Personality"
care only about money,"Belief, Financial status"
don't own cars,Financial status
should be in cages,Mistreatment
have weird sex,Family & relationship
are not competent enough,Ability
are all retarded,"Health, Ability"
live in the street,Financial status
think men are murderers,"Family & relationship, Belief, Mistreatment"
are sexually aggressive,Family & relationship
gets upset easily,Personality
is in jail,"Crime, Mistreatment"
does not drive well,Ability
from alabama are inbred,"Social status, Mistreatment"
are treated more leniently by the judicial system,Morality
should have been exterminated,Mistreatment
deserve scars,Mistreatment
wore chains,"Culture, Social status, Mistreatment"
against woman is funny,Family & relationship
don't deserve awards,"Ability, Mistreatment"
like to fight,"Crime, Ability, Personality"
have are dark like asphalt roads,Appearance
always loot other's things,"Crime, Morality"
are always broke,Financial status
should be insulted,Mistreatment
have sex with boys,Family & relationship
from worcester are bad drivers,Ability
require too many rights,Social status
want to be in abusive relationships,Family & relationship
are locked away,Mistreatment
live on plantations,Social status
always bombing things,"Crime, Mistreatment"
are doing something morally wrong,Morality
only have sex with butts,Family & relationship
"can't do ""men's work""","Family & relationship, Ability, Social status"
shouldn't take part in male activities,"Family & relationship, Social status, Mistreatment"
drown when swimming,Ability
are a complete waste of space,"Ability, Social status, Mistreatment, Swear words"
are automatically assumed guilty,"Social status, Mistreatment, Personality"
have sex for other reasons,Family & relationship
being murdered,Mistreatment
use bad names,Culture
should be in the home,Mistreatment
"are disadvantaged and ""feral""","Swear words, Ability, Social status, Personality"
are supposed to do things for men even if the man is capable of doing it himself,"Family & relationship, Social status"
can be triggering,Personality
want to harm americans,Crime
only date attractive men,"Family & relationship, Personality"
have no control,Ability
should not mix,Family & relationship
are a threat,"Crime, Social status, Mistreatment, Belief"
doesn't matter if jews die,Mistreatment
are enemies to the united states,Mistreatment
only care about gender,"Family & relationship, Belief"
use men to get money,"Family & relationship, Morality, Social status"
cheat on other people,Morality
get aids from anal sex,"Health, Family & relationship"
are forced to do labor,Mistreatment
do not tolerate homosexuality,"Family & relationship, Belief"
are always after other 's men,"Family & relationship, Social status, Personality"
are okay with killing people,"Crime, Morality"
with disabilities can't speak proficiently,"Health, Ability"
are more likely to be shooters,"Crime, Social status, Mistreatment, Personality"
are boring and touchy,Personality
don't contribute to society,Social status
are not productive,"Financial status, Ability, Personality"
are dependent on others,Personality
