Sentence,Antonym,Labels
send kids to die,take care of their kids,"Crime, Family & relationship"
don't value woman, value women,Morality
can't afford christmas presents, can afford to buy Christmas presents,Financial status
have sex with everyone, have consensual intimate experiences with everyone,Morality
do low paying jobs, do high paying jobs,Social status
don't have hair, do have hair,Appearance
are targeted by the kkk,are not targeted by the kkk,Mistreatment
are all stupid, are all intelligent,Ability
are overly emotional, are level-headed,Personality
ruin cities, improve cities,Crime
are for mocking, are respectful,Mistreatment
are manipulative, are honest,Social status
should worry about themselves,do not have to worry about themselves,Personality
with hair are ugly, with hair are beautiful,Appearance
can't do anything, can do everything,Ability
are all angry, are all happy,Personality
have puffy lips, have smooth and hydrated lips,Appearance
ruin everything, improve everything,Crime
live in bad conditions, live in good conditions,"Financial status, Social status"
do not have an education, have received an education,Ability
have no family or friends, have a loving family and supportive friends,Family & relationship
squint a lot, have clear vision,Personality
get executed by hanging, are pardoned and set free,Mistreatment
are pigs, are elegant,Appearance
are shameful, are honorable,Social status
were separated from whites, were united with whites,Mistreatment
with aspergers are weird,with aspergers should be respected,Health
bring crime to neighborhoods, bring safety and prosperity to neighborhoods,Crime
should not have choices, should have many choices,Mistreatment
are worth beating, are worth praising,Mistreatment
exist for entertainment,exist not for entertainment,Social status
are self centered, are selfless,Personality
stir up drama, create harmony,"Personality, Morality"
are absentee fathers, are present and involved fathers,Family & relationship
have sex with each other, engage in consensual sexual activities with each other,"Personality, Morality"
calls women names, respects and acknowledges women,Morality
have no brain, have intelligence,Ability
have poor hygeine, have good hygiene,Health
asked for genocide, requested peaceful coexistence,Crime
seek attention, seek solitude,Social status
are more likely to get stds, are less likely to get STDs,Health
is a cult, is not a cult,Belief
should stay at home,do not have to stay at home,Mistreatment
are obsessed with guns,are not obsessed with guns,Morality
only care about sex, care about more than just sex,Personality
are never satisfied, are always satisfied,Personality
are bad lovers, are skilled lovers,Personality
hate america, love America,Morality
use sex to get what they want, value and respect others in their relationships,Social status
have babies together, have a beautiful future together,Family & relationship
don't have a brain, have a brain,Ability
are depraved, are morally sound,Morality
are meant to be in the kitchen cooking for men,are not meant to be in the kitchen cooking for men,Social status
are embarrassing to be seen with, are proud to be seen with,Social status
cheat on men, faithful to men,Morality
cannot see well, can see well,Health
is a pervert, is respectful,Personality
have a much lower life expectancy compared to westerners, have a much higher life expectancy,Health
cover up sex with kids,do not have sex with kids,Morality
should not be in politics, can be in politics,"Social status, Mistreatment"
all support terrorism, all condemn terrorism,Belief
want to be harassed, do not want to be harassed,Personality
don't deserve to be protected from by politicians, deserve to be protected from by politicians,Mistreatment
have to talk a certain way, have the freedom to express myself in my own unique way,Personality
spread disease, promote health,"Crime, Personality"
get their breasts amputated, choose to keep their breasts,"Personality, Health"
all act the same, all act differently,Personality
will never be loved by a woman, will always be loved by a woman,Social status
don't like adoptions,don't hate adoptions,Personality
will even have sex with camels,will not have sex with camels,Morality
shouldn't be assertive, have the right to be assertive,Personality
are offensive, are inoffensive,Personality
aren't sinners, are righteous,Mistreatment
"seek to conquer, not assimilate"," strive to assimilate, not conquer",Personality
with downs are vegetables,with downs are not vegetables,Appearance
make cities worse, improve cities,Crime
love kfc, prefer KFC,Personality
are beneath tools,are not tools,Social status
speak their native tongue, speak a foreign language fluently,Culture
are hard to tell apart, are easily distinguishable,Social status
do not get degrees, get degrees,Culture
and jews should not get along, and Jews should have positive and harmonious relationships,"Mistreatment, Morality"
have poor family values, have strong family values,Family & relationship
is unpleasant, is pleasant,Personality
are defined by who has sex with them," individuals are defined by their own unique qualities and characteristics, not solely by their sexual partners",Social status
are primitive, are advanced,Ability
are prolific cheaters, are honest and ethical,Crime
need to behave proper, behaving properly is not necessary,Personality
are alcoholics, are in control of their drinking,"Morality, Health"
are slow are in jail, are quick-witted and free,Crime
don't try to fit in, embrace your uniqueness,Personality
drown often, swim frequently,Ability
love money more than anything, value relationships more than anything,Morality
was insulted, was complimented,Mistreatment
cant read, can read,Ability
have no friends, have many friends,Family & relationship
are worse drivers than the blind, are better drivers than sighted individuals,Ability
are kidnappers, are protectors,Crime
"is a savage, primitive land"," is a civilized, advanced land",Culture
do not have feelings, do have feelings,Personality
are drug addicts, are drug-free,Health
who have sex before marriage are ruined,who have sex before marriage are not ruined,Personality
often falsely accuse men of crimes, often truthfully accuse men of crimes,Morality
has a high mortality rate, has a low mortality rate,Health
lack self control, have self control,Personality
do poorly in school, do well in school,Ability
are in gangs, are not involved in gangs,Social status
are unemployed, are employed,Financial status
act fake, act genuine,Personality
"with dwarfism are ""midgets""",with dwarfism should be respected,"Appearance, Health"
are known for large facial features, are admired for their striking facial features,Appearance
talk funny, speak fluently and articulately,Personality
are afraid of gas, not afraid of gas,Personality
make weird noises, make pleasant noises,Personality
have beards, do not have beards,Appearance
cannot be president, can be president,Social status
are vegatables because there's no brain function, are not vegetables because they have a high level of brain function,Ability
with down syndrome should be killed, people with Down syndrome should be valued and supported,Morality
live on the side of the road, live in a comfortable home,Personality
have short hair, have long hair,Appearance
make bad boyfriends, make good boyfriends,Personality
with mental illness should not reproduce/should be sterilized, people with mental illness should be encouraged to reproduce/should have the opportunity to parent,"Mistreatment, Health"
with kids are stupid, interacting with kids is intelligent,Family & relationship
are only attracted to bad boys, am only attracted to good boys,Social status
overeat, under-eat,Personality
live in squallor, live in luxury,Social status
expect too much,have proper expectation,Personality
are unaware of their circumstances, are conscious of their circumstances,Personality
are frivolous, are meaningful,Personality
do not have anything interesting to say, do have something interesting to say,Personality
are beaners,are not beaners,Social status
are just cripples,andable-bodied,Health
waste money and have poor finances, invest wisely and have excellent financial management,Financial status
like to argue, enjoys calm and respectful discussions,Personality
are rednecks, are cultured,Social status
that are sexually active have no value, Individuals who are sexually active possess great value,Social status
can be petty, can be generous,Personality
are loud,are not loud,Personality
are confused nowadays, are clear-minded nowadays,Personality
are always trying to look tough, are always trying to look kind and compassionate,Personality
are sneaky, are honest,Personality
try to trap men, seek to empower men,Personality
act crazy, act sane,Personality
are always on their phones, are always present in the moment,Personality
are jealous,are not jealous,Personality
complain about racism, speak up for racial equality,Personality
control the press, protect the freedom of the press,Personality
are all cry babies, are all strong and resilient,Personality
should be degraded, should be valued,Social status
need to be ordered around, do not need to be ordered around,Mistreatment
are radicals, are moderates,Belief
only eat rice, enjoy a varied diet,Personality
deserved what happened in the halocaust, did not deserve what happened in the Holocaust,Mistreatment
are branded with numbers,are not branded with numbers,Culture
can't communicate, can communicate effectively,Personality
have no classl, have great poise and elegance,Social status
are a conspiracy made up by the govt, are a legitimate investigation by the government,Morality
are punching bags, are strong and resilient,Mistreatment
are ash,are not ash,Social status
is filled with child sex workers, is free of child sex workers and filled with a safe and welcoming environment for all,Morality
fart during sex,do not fart during sex,Personality
can't fight, can effectively engage in combat,Ability
cut off the hands of thieves, help those in need,Crime
are broken, are in good working order,Personality
are often refugees, are often welcomed,Social status
have no purpose, have a clear purpose,Personality
always wear hijabs,do not wear hijabs,Appearance
are frigid creatures, are warm and affectionate people,Personality
don't actually follow what their bible says, actually follow what their bible says,Belief
are clingy, are independent,Personality
should be hidden,should not be hidden,Mistreatment
surrender in wars, achieve victory in wars,Personality
are people from india, are not people from India,Social status
is bad for kids, is good for kids,Personality
should be disowned, should be embraced,Mistreatment
can't run, can easily run,Ability
are excessively family-oriented,are not excessively family-oriented,Family & relationship
should get run over by cars, should be showered with love and kindness,Mistreatment
need to stay in their lane,can explore and cross boundaries,Personality
are a mistake, are a success,Social status
and emos go hand in hand, and emos are mutually exclusive,Family & relationship
are nuts, are sensible,Health
are physically limited, are physically capable,Mistreatment
with leprosy fall apart, with leprosy come together,Health
enjoy random sex, value committed relationships,Morality
are okay to tease, are not okay to tease,Mistreatment
are k*kes, are kind,"Social status, Personality"
have their heads up their butts, have their heads in the game,Ability
can't lift things, can lift things,Ability
can't win a debate, can win a debate,Ability
should be housewives or homemakers, should be career-focused and work outside the home,Social status
are catty, are kind and supportive,Personality
have often been persecuted for wearing a hijab, have often been celebrated for wearing a hijab,Appearance
aren't able to leave of their own free will, are able to leave of their own free will,Mistreatment
dont have dreams, do have dreams,Personality
all have child brides, all have adult partners,Culture
lose their hair, regain their hair,Appearance
are not professional, are professional,Ability
don't move, can move,Ability
are beneath nazis, are superior to Nazis,Social status
are swindlers, are honest,Crime
are taking our jobs, are creating jobs,Ability
have vaginal odor, have a pleasant vaginal scent,Health
aren't as cute as other races, are just as cute as other races,Appearance
love shopping, enjoy saving money,Personality
are passive, are active,Social status
make no money, make a lot of money,"Financial status, Ability"
make a big deal out of nothing, treat something with importance and respect,Personality
shouldn't be in the military, should be in the military,Social status
can't use tools, can use tools effectively,Ability
aren't complete alone, are perfect in their own company,Family & relationship
can't have non white names, can have diverse names,"Mistreatment, Culture"
have no voice, have a powerful voice,Social status
all live on reservations, all live in integrated communities,Social status
want to censor others, respect the freedom of expression of others,Personality
are fascists, are tolerant and accepting,Belief
take credit for everything, give credit to everyone,Personality
need democracy, require autocracy,Mistreatment
should be fought against, should be embraced and celebrated,Mistreatment
hate the free market, love the free market,Morality
only want to make conservatives look bad, only want to make conservatives look good,Morality
is dictated by genitalia, is not dictated by genitalia,Personality
"doesn't have a lot of diversity, it's all the same"," has a lot of diversity, it's all unique",Social status
always talk behind people's backs, always speak positively about others in their presence,"Personality, Morality"
need to be marginalized, deserve to be celebrated,Mistreatment
make fun of other people's traditions, respect and appreciate other people's traditions,Culture
don't want to help homeless, want to help the homeless,Personality
are conspiring to hurt people, are conspiring to help people,Crime
are contagious, are not contagious,Health
need to be skinny, are capable of being healthy at any size,Appearance
do not care about personality, care deeply about personality,Personality
don't have a wage gap, do have a fair and equal wage distribution,Financial status
buy their way through life, earn their way through life,Personality
are usually found in hospitals, are typically found in homes,Health
mostly work in restaurants,are not mostly work in restaurants,Social status
don't really care about immigrants, care deeply about immigrants,Personality
have no value since they don't produce offspring, have great value as they contribute to the diversity of life on the planet,Ability
practice a faulty religion, practice a flawless or perfect religion,Belief
act in a tribal manner, act in a harmonious and inclusive manner,Culture
make excuses for their misbehavior, take responsibility for their behavior,Personality
have no respect for democracy, have great respect for democracy,Personality
die more often, live longer,Mistreatment
need help, do not need help,Social status
talk the same,do not talk the same,Personality
don't suffer from depression like men, enjoy good mental health like women,Morality
have predefined roles, have open and flexible roles,Social status
lack courage, have courage,Personality
are on drugs, are sober,Personality
are suppressed,are not suppressed,Mistreatment
can't know about cars, can understand about cars,Ability
need help to do things, can easily handle tasks on their own,Ability
can never keep a husband, can always keep a husband,Family & relationship
look for any opportunity to show off, seize every opportunity to contribute,Personality
were victims of genocide, were not affected by genocide,Mistreatment
are killed in ovens,are not killed in ovens,Mistreatment
were burned in the halocaust, were not affected by the Holocaust,Mistreatment
were all burned, were all saved,Mistreatment
deserves to die, deserves to live,Mistreatment
were incinerated and turned to ash, were miraculously saved and remained intact,Mistreatment
aren't worth the same as a white person, are just as valuable as a white person,Social status
aren't worth as much as men, are just as valuable as men,Social status
were slaves and brought to the us on boats, were free individuals and immigrated to the US voluntarily,"Social status, Mistreatment"
are not part of the human race, are an integral part of the human race,Social status
can't play sports as well as men, can play sports just as well as men,Ability
should go back to the days of slavery,should not go back to the days of slavery,"Social status, Mistreatment"
was killed by being gassed,was not killed by being gassed,Mistreatment
are below whites, are equal to or above whites,Social status
keep their spouses as slaves, treat their spouses with respect and equality,"Crime, Morality"
do no deserve life, deserve life,Mistreatment
deny their kids, provide for their children,Family & relationship
are beneath other races, are equal to other races,Social status
leave their kids,do not leave their kids,Family & relationship
are not as skilled as other races, are just as skilled as other races,Ability
are less than human and can be abused, are fully human and deserving of respect and compassion,"Social status, Mistreatment"
are less than dogs,have more value than dogs,Social status
should be property/slaves, should be free and equal,"Social status, Mistreatment"
like to be treated badly, like to be treated well,Mistreatment
do not deserve a voice, do deserve a voice,Social status
are tortured alot, are treated with care and kindness,Mistreatment
cannot provide for themselves, can independently support themselves,Ability
marry their children off young, allow their children to grow and develop at their own pace,Personality
are targets of violence, are safe and protected from violence,Mistreatment
are less evolved than white folks,are equally evolved than white folks,"Social status, Ability"
are socially inept, are socially adept,Personality
don't stay with their partners, do stay with their partners,Family & relationship
deserves to die in holocaust, deserves to live in peace,Mistreatment
are beneath whites, are equal to or above whites,Social status
are lesser creatures, are greater beings,Social status
are less valuable in society, are more valuable in society,"Social status, Ability"
ignore their family, care for their family,Family & relationship
kill their babies,raise their babies,Crime
are in poor health, are in good health,Health
do not deserve care, deserve care,Social status
are servile to men, are equal to men,Personality
are inhumane, are humane,Personality
are tools for sex,are not tools for sex,"Social status, Mistreatment"
are lusted after by white women, are admired by white women,Personality
are to be killed, are to be protected,Mistreatment
deserve the least respect of all minorities, deserve the utmost respect of all minorities,"Social status, Mistreatment"
have sex with their dads,do not have sex with close relatives,Morality
aren't worthy, are deserving,Financial status
died in the gas chamber, lived in peaceful chambers,Mistreatment
arent worthy, are worthy,"Social status, Ability"
are not worth respecting and valuing, are worthy of respect and valuing,Social status
are beneath and an enemy of whites, are elevated and an ally of whites,"Social status, Mistreatment"
is funny to kill black people, is enjoyable to support and celebrate black people,"Crime, Morality"
aren't as good as other people,are just as good as other people,Ability
have poor education and are not intelligent, have excellent education and are intelligent,Ability
are treated like dirt, are treated with respect and kindness,Mistreatment
are worth less than an able bodied person, are worth just as much as an able-bodied person,"Social status, Ability"
are dumber than monkeys, are smarter than monkeys,Ability
are easy to bully, are difficult to bully,Mistreatment
is apelike, is graceful,"Appearance, Personality"
don't play sports, do play sports,Ability
attack people, protect people,Crime
are generally lower income, are generally higher income,Financial status
are/look like monkeys, are/look like humans,Appearance
shouldn't be involved in the nba,have the right to be involved in the nba,Social status
are less than human and their lives don't matter, are fully human and their lives are valuable,Social status
failed at earning civil rights, succeeded in earning civil rights,Social status
are less important than money, are more important than money,Social status
are animals/hippos, are not animals/hippos,Morality
desreve violence, deserves peace,Mistreatment
are not deserving of protection, are deserving of protection,Social status
cannot talk well, can talk fluently and eloquently,Ability
being slaves is funny, being free is empowering,"Social status, Mistreatment"
are worse than animals, are better than animals,Social status
should be shot by vigilantes, should be praised and celebrated,Mistreatment
don't hold any value, hold great value,Social status
think they are superior, believe they are equal,Social status
don't require the same respect as others, are deserving of the same respect as others,Social status
don't deserve cars, do deserve cars,"Financial status, Social status"
hate all other groups, love all other groups,Morality
leaves their kids, chooses to raise their children,Family & relationship
should be submissive, should be assertive,"Social status, Mistreatment"
with darker skin are unattractive, with darker skin are attractive,"Appearance, Social status"
are not as mentally sharp, are as mentally sharp,Personality
that is not white is not friends with people who are white, That is not white is not enemies with people who are white,Social status
were frequently killed by cremation,were not frequently killed by cremation,Mistreatment
don't take care of each other, do take care of each other,Personality
can't tell men what to do, can easily guide and direct men towards the desired outcome,"Ability, Social status, Mistreatment"
with cancer die as children, with cancer live to become adults,Health
are always being arrested, are always being released,Crime
should be killed by oven (microwave),should not be killed by oven (microwave),Mistreatment
hate arabs, love Arabs,Belief
with down syndrome are to be pitied, individuals with Down syndrome are to be respected,Health
deserve to be paid less, deserve to be paid more,"Financial status, Mistreatment"
beat people, treated people kindly,Crime
always think about the holocaust,do not involve in shooting and violence,"Belief, Crime"
shoots everything with guns/violence, shoots everything with peace/non-violence,Crime
are unhygienic, are hygienic,Health
"are ""retards""", are intelligent,Swear words
are unwanted, are welcomed,Social status
get in trouble, avoid trouble,Ability
whine a lot,rarely whine,Personality
compete over men, support and uplift each other,"Family & relationship, Ability, Social status"
makes fun of the crucifixion of jesus, honors and respects the crucifixion of Jesus,Belief
sexually abuses children, protects and cares for children,"Family & relationship, Crime"
are like oranges, are unlike apples,Appearance
aren't people, are individuals,"Social status, Mistreatment"
should be beat, should be treated with kindness,Mistreatment
don't want equality between sexes, do want equality between sexes,"Family & relationship, Belief, Social status, Mistreatment"
get away with things because they look white, are held accountable for their actions regardless of their appearance,"Appearance, Social status"
of color are abusive to whites, People of color are respectful and kind towards whites,"Crime, Swear words, Social status, Mistreatment"
who have sex are sinners,who have sex are not sinners,Family & relationship
are racist toward black folks, are inclusive and accepting of black individuals,Belief
have been turned to ash,have not been turned to ash,Mistreatment
get worse prison sentences, get better prison sentences,"Crime, Mistreatment"
deserves to be able to rape a woman, should be treated with respect and dignity,"Family & relationship, Crime"
is not as smart as others, is just as intelligent as others,Ability
have ugly skin, have beautiful skin,Appearance
don't have any self respect, do have a strong sense of self-respect,Personality
want sex from being kids, desire healthy and appropriate relationships from a young age,Family & relationship
rape wo, Hug everyone,Crime
is disliked by other s, is liked by others,Mistreatment
should be mocked, should be celebrated,Mistreatment
are universally distrusted, are universally trusted,"Morality, Social status"
are responsible for all violent crime, are not responsible for any violent crime,Crime
take things from others, give things to others,"Crime, Morality"
are taking from white people, are giving to white people,Morality
only care about themselves, care about others,Personality
with autism are not smart, with autism are intelligent,"Health, Ability"
are lazy/won't work, are diligent/hardworking,"Ability, Personality"
aren't good workers, are excellent workers,Ability
need to be obedient, are independent,Social status
should haven't to worry about being raped, should not have to worry about being respected,Mistreatment
are always running from the police, are always cooperating with the police,"Crime, Social status"
are victims of cruelty, are recipients of kindness,Mistreatment
are all in jail,do not commit crime,Crime
all starve, all are well-fed,Financial status
don't care about racism, care deeply about fighting racism,Belief
steal white woman, respect and cherish white women,"Crime, Morality, Swear words, Belief"
are bad people, are good people,Personality
are not fun, are fun,Personality
is in their physical appearance, is not in their physical appearance,Appearance
have large families, have small or no families,Family & relationship
should be treated disrespectfully, should be treated with respect,Mistreatment
cant be seen at night, can be seen at night,Appearance
aren't usually pretty, are often quite attractive,Appearance
are all still racists, are not all racist,Belief
shouldn't be alive, should be alive,"Social status, Mistreatment"
are sexist,are not sexist,Family & relationship
are nasty people, are kind-hearted people,Personality
are ruining australia, are improving Australia,Culture
were massacred by the early settlers, were peacefully coexisted with the early settlers,Mistreatment
are invisible, are visible,Social status
know your mental disorder better than you do, know your mental health condition better than you do,Health
are not the correct sexual orientation, are of the correct sexual orientation,Family & relationship
get killed, get saved,Mistreatment
were all meant to be killed, were all meant to be saved,Mistreatment
are easy to abuse, are difficult to abuse,Mistreatment
are only one race or the other, celebrate the richness of our diverse heritages,Swear words
are servants, are masters,Social status
are less desirable partners, are more desirable partners,Family & relationship
approve of slavery, condemn slavery,Belief
don't have kids, do have kids,Family & relationship
are invading land, are respecting land,"Crime, Belief, Social status"
should do what the man wants, should do what is best for oneself,"Social status, Mistreatment"
are targets of crimes, are safe and secure,Mistreatment
are bad to date, are good to date,Family & relationship
have no redeeming qualities to make them likable, have numerous redeeming qualities that make them likable,Personality
are only good for serving men, are valuable and capable beyond their utilitarian purpose,Social status
are second class, are first class,Social status
with small breasts aren't attractive, with small breasts are attractive,Appearance
grow up without parents, grow up with loving parents,Family & relationship
with physical disabilities are inanimate objects, with physical disabilities are animate objects,Health
of africans have aids, Africans have a positive outlook towards their health,Health
was invaded by hitler, was liberated by allies,Mistreatment
aren't competent, are competent,Ability
want genocide, desire peace and harmony,"Crime, Belief"
and asians are overly sensitive, and Asians are highly attuned,Personality
has stereotype to be greedy, has a reputation for being generous,"Social status, Personality"
are not citizens of the usa, are citizens of the USA,Social status
use their sexuality to gain advantage over men,do not use their sexuality to gain power,Family & relationship
are not afraid of other races, are not afraid of other races,Social status
should listen to men, should listen to women,Social status
is undesirable, is desirable,"Family & relationship, Mistreatment"
are mans property, are not mans property,Social status
need to prove themselves as manly, do not need to prove their masculinity,Social status
all steal, all share,Crime
are absent fathers, are present fathers,Family & relationship
are lumped together with isis, is not lumped together with ISIS,"Crime, Belief"
are to be denigrated, are to be celebrated,Mistreatment
want to be black, embrace and celebrate being white,Appearance
can assault men, can befriend men,Crime
shouldn't be working with men, should be working with men,Social status
have no right to talk, have every right to express oneself,"Social status, Mistreatment"
deserve to be ogled and thought about sexually, deserve to be respected and treated with dignity,"Family & relationship, Social status"
are different from others, are similar to others,"Appearance, Social status"
they do is complain, they do is appreciate,Personality
are not good sexual partners,are good sexual partners,Family & relationship
looks burnt,looks pretty,Appearance
have many partners,are loyal to partner,Family & relationship
that are pretty are disloyal,that are pretty are loyal,Morality
are only good for picking cotton, are versatile and capable of many uses,"Ability, Social status"
are lousy people, are kind and compassionate people,Personality
try extra hard to have sex, make a conscious effort to avoid sexual activity,Family & relationship
get offended easily, are easily pleased,Personality
are referred to as trash, are known as treasures,"Social status, Mistreatment"
does not deserve love, deserves love,Family & relationship
aren't needed, are crucial,Social status
are unfairly favored,are fairly favored,"Social status, Mistreatment"
does suicide bombings, performs acts of kindness,"Crime, Belief"
can be used for sexual abuse, can be used for mutual pleasure and consent,"Family & relationship, Mistreatment"
aren't good enough to be human, are more than good enough to be human,Social status
paralyzed/ are vegetables, are active and vibrant,Health
belong to be in jail, belong to be free and celebrated,"Crime, Social status, Mistreatment"
are the same as al qaeda, are different from al Qaeda,Crime
can't protect themselves so they're easy targets, can protect themselves so they are not easy targets,Ability
are not socially acceptable, are socially acceptable,Social status
want to dominate other nations, desire to coexist peacefully with other nations,"Belief, Morality, Culture"
don't get along with each other, get along with each other,"Family & relationship, Personality"
control all the money, share all the money,Financial status
aren't as good, are just as good,Ability
get hanged, get freed,Mistreatment
are scum, are valuable,"Morality, Swear words, Personality"
will not stop jumping the border, will cease jumping the border,Crime
can't rape an intimate partner, can create a consensual and loving relationship with an intimate partner,Family & relationship
enjoy being beat up, dislike being mistreated,Mistreatment
are miserly, are generous,Personality
is a euphemism for gay, is a celebration of diversity,Family & relationship
should look feminine, should look masculine,"Family & relationship, Appearance, Social status"
call each other niggas, call each other respectful titles,Swear words
often have abortions, often give birth to healthy children,Family & relationship
are beneath otheres, are equal to or better than others,Social status
hate trans folks, love and accept trans folks,Belief
shoot each other, support each other,Crime
are toys, are not toys,Social status
are not good at comedy, are skilled at comedy,Ability
work menial jobs, have prestigious careers,Social status
tell muslims to kill, encourage peace and understanding among all people,"Crime, Belief"
should be doing housework,can do things other than housework,Social status
hate women's rights, support women's rights,Belief
of color get handouts, of color contribute greatly,Mistreatment
find certain races undesirable,respect all races,Belief
are all about money, are about values and ethics,Financial status
are always sleeping around, are always diligently working,"Morality, Social status, Personality"
is overly sexual, is appropriately sensual,Family & relationship
want to perform terrorist acts, desire to engage in peaceful acts,Crime
are not perfect, are flawless,"Ability, Personality"
hate police, love police,Belief
with physical disabilities are funny, People with physical disabilities are not funny,Health
have gender roles to adhere, have flexible and progressive gender roles,Family & relationship
with disorders are funny,with disorders are not funny,Health
cover up child molestation, reveal and address child molestation,Crime
resolve things with aggression, resolve things with kindness,Personality
like to spend money frivolously, enjoys spending money wisely,Financial status
sell their bodies,respect their bodies,Family & relationship
are less desirable to hire, are more desirable to hire,Social status
lie to get sex, tell the truth to build trust,Morality
are rude to their women, treat their women with respect and kindness,"Family & relationship, Personality"
suffer from malnutrition, enjoy a well-nourished state,Health
should stay poor, should become wealthy,Financial status
don't live long, live a long time,Health
is exploited, is valued and respected,Social status
are a waste of space, are a valuable asset,Social status
aren't loyal, are loyal,Morality
are creepy, are charming,Personality
aren't worth much effort or attention, are valuable and deserving of effort and attention,"Ability, Social status"
should be hated, should be loved,Mistreatment
are an infestation, are a valuable addition,"Social status, Culture"
frequently fight with their women, often have harmonious relationships with their partners,"Family & relationship, Personality"
lives don't matter, lives do matter,Social status
"are ""ghetto""", are classy,"Financial status, Swear words"
are dead inside, are alive and full of energy,Personality
is the religion of hate, is the religion of love,Belief
just want money, care about more than just money,Financial status
are prone to illness or disease, are healthy and resistant to illness or disease,Health
are always guilty, are never guilty,"Morality, Personality"
with good jobs are b*tches, with good jobs are classy,"Ability, Mistreatment, Swear words"
are scared of their parents, are comfortable with their parents,"Family & relationship, Personality"
think they are special, believe they are equal,Personality
run the country, govern the nation,Social status
are perverts, are respectable,Morality
have a whole country, have the entire world,Social status
use men for money, value individuals regardless of their financial situation,"Morality, Financial status"
act different than whites, act similar to or in accordance with the behavior of people of other races,"Belief, Culture"
are incapable of feeling different emotions, are capable of feeling a wide range of emotions,Personality
are scared of the government, are confident in the government,"Belief, Personality"
break into houses,do not break into houses,Crime
can't be angry about something, can be happy about something,Personality
are associated with chains, are associated with freedom,"Mistreatment, Social status"
likes to sleep with kids, enjoys spending time with children,Crime
gets burned up, remains unharmed,Mistreatment
are naturally more bad than good, are naturally more good than bad,Personality
are too heavy,have normal weight,Appearance
have a unique skin color, have a typical skin color,Appearance
is a liar, is truthful,Morality
are emotional, are logical,Personality
will go to great lengths for attention, will go to great lengths for recognition,Personality
are dangerous behind the wheel, are safe behind the wheel,Ability
aren't capable without equipment, are fully equipped,Ability
are likely to die, are likely to live,Health
are executed on trees,are not executed on trees,Mistreatment
are not welcoming, are welcoming,"Social status, Mistreatment"
need to be deported, can stay permanently,Social status
die, live,Health
are so hungry they'll swallow everything,do not starve,Financial status
are bomber, are humble,Crime
shouldn't be kept alive, should be kept alive,Mistreatment
are used for burning,should not be mistreated,Mistreatment
should be oppressed by nazis, should be respected and protected from oppression by the Nazis,Mistreatment
can't live full lives, can live full and meaningful lives,Health
cant make food, can make food,Ability
attack others, respect and care for others,Crime
caused aids, prevented aids,Health
can't be pretty, can be pretty,Appearance
love money, values generosity,Financial status
only want their kids to be their color, support the diversity of skin colors in their children,"Family & relationship, Culture"
separated from coloreds, united with people of all races,"Belief, Social status"
worship a pedophile, respect and cherish children,"Crime, Belief"
can't have emotions, can express a range of emotions,Personality
are bad at sex, are skilled at sex,"Health, Ability, Family & relationship"
shouldn't get married, have the right to get married,Family & relationship
are mistreating and raping people, are treating and respecting people,Crime
are hypocrites when it comes to rape, are honest and just when it comes to rape,"Crime, Morality"
only use sex to get what they want, always prioritize mutual pleasure and consent in their sexual encounters,Family & relationship
should accept sexual harassment, should reject sexual harassment,Mistreatment
are overly sensitive to anti-semitic, are under-sensitive to anti-semitic,Culture
gets killed, survives,Mistreatment
don't care about their women at all, care deeply about their women,"Family & relationship, Morality, Personality"
have low self worth, have high self worth,"Ability, Personality"
want to have sex with lots of people, value meaningful connections with a few individuals,Family & relationship
are petite, are tall and statuesque,Appearance
belong in gas chambers, belong in a safe and welcoming environment,Mistreatment
get marked for execution, get spared from execution,Mistreatment
are backwards, are progressive,Social status
are like a plague, are a blessing,Social status
can't do sports like cycling, can easily do sports like cycling,Ability
can only do hard labor, can do a variety of tasks with ease and skill,"Ability, Social status"
don't respect black folks, respect black folks,Belief
is too dark, is well-lit,Appearance
aren't cared about, are cared about,Social status
should cover up and not wear such revealing clothing, should show their beauty and wear revealing clothing with confidence,Culture
act like animals in a zoo, act with grace and poise like royalty in a palace,"Social status, Culture, Personality"
is ineffective, is effective,Ability
kill america, save America,Crime
invade the us, defend the United States,"Crime, Social status"
are associated with ghetto, are associated with a positive and vibrant community,"Social status, Financial status, Culture"
really deep down just want families, truly cherish the love and bond of families,Family & relationship
force men to marry them, allow men to marry them willingly,Family & relationship
"act like monkeys, swinging from bars",do not act like monkeys,"Culture, Personality"
can't do things normal people can, can do things that are exceptional or extraordinary,Ability
are called cows,are humans,"Social status, Mistreatment"
have too much privilege, have a fair and equal opportunity,"Social status, Mistreatment"
like to get beat up,do not like to be beaten,Mistreatment
all has the same name, all have unique names,Culture
will not live very long, will live a long and healthy life,Health
harms people, benefits people,Crime
need to be killed,should not be killed,Mistreatment
are anti-men, are pro-men,Belief
have a backwards culture, have a progressive culture,Culture
are e trashy, are elegant,"Financial status, Social status, Personality"
were unwanted, were desired,Social status
shouldn't have nice things, should have nice things,Social status
owe men sex,do not owe men sex,Family & relationship
think they're special but they're not, believe they have worth and value,"Ability, Social status"
can't stay loyal, can stay loyal,Morality
do things wrong, do things right,Ability
are unruley, are orderly,"Morality, Social status"
is backwards,is not backwards,"Social status, Culture"
shoot schools up,do not shoot schools up,Crime
are likely to shoot at people, are unlikely to shoot at people,Crime
are a cancer, are not a cancer,Social status
